,poet,title,datetime,timestamp

0,milosz,ACCOUNT,2021-12-01 10:48:00,0
0,bishop,IN THE WAITING ROOM,2021-12-02 07:29:00,0
0,yeats,THE DEATH OF CUCHULAIN,2021-12-03 17:41:09,1638746455.263371
0,wilde,HÃ‰LAS!,2021-12-04 07:00:00,0
0,shakespeare,SONNET NO. 38,2021-12-05 07:00:00,0
1,chesterton,THE DEAD HERO,2021-12-06 07:00:04,1638792004.777823
2,bishop,ARRIVAL AT SANTOS,2021-12-07 07:16:50,1638879410.080362
3,dickinson,THE BLUE JAY,2021-12-08 07:00:39,1638964839.2401
4,thomas,THE SONG OF THE MISCHIEVOUS DOG,2021-12-09 08:12:57,1639055577.3323898
5,ashbery,ALCOVE,2021-12-10 08:58:33,1639144713.432971
6,chesterton,THE MARCH OF THE BLACK MOUNTAIN 1913,2021-12-11 07:05:17,1639224317.508539
6,kilmer,DELICATESSEN,2021-12-12 09:11:00,0
6,ashbery,THE NEW HIGHER,2021-12-13 07:56:00,0
7,rilke,THE ANGELS,2021-12-14 08:11:23,1639487483.188428
8,eliot,LA FIGLIA CHE PIANGE,2021-12-15 07:08:35,1639570115.45388
9,lawrence,WINTER IN THE BOULEVARD,2021-12-16 08:28:50,1639661330.475191
10,milosz,LATE RIPENESS,2021-12-17 07:53:54,1639745634.300556
11,owen,A TERRE,2021-12-18 07:00:09,1639828809.530397
12,lewis,CLICHE CAME OUT OF ITS CAGE,2021-12-19 07:37:55,1639917475.599464
13,gibran,GOD,2021-12-20 08:16:22,1640006182.922254
14,moore,GEORGE MOORE,2021-12-21 07:15:58,1640088958.841784
15,kilmer,VISION,2021-12-22 09:18:28,1640182708.50824
16,nash,MORNING PRAYER,2021-12-23 08:03:01,1640264581.787426
17,mccrae,THE DEAD MASTER,2021-12-24 08:00:07,1640350807.560533
18,chesterton,THE HOUSE OF CHRISTMAS,2021-12-25 08:35:03,1640439303.3685188
19,peguy,FREEDOM,2021-12-26 08:00:05,1640523605.708003
20,millay,ELAINE,2021-12-27 08:10:55,1640610655.582869
21,yeats,THE LAMENTATION OF THE OLD PENSIONER,2021-12-28 08:01:51,1640696511.656412
22,huxley,TWO REALITIES,2021-12-29 08:24:38,1640784278.8470662
23,macneice,SOAP SUDS,2021-12-30 08:15:04,1640870104.02472
24,auden,THE MORE LOVING ONE,2021-12-31 08:00:09,1640955609.475533
25,rossetti,OLD AND NEW YEAR DITTIES,2022-01-01 13:59:39,1641063579.840168
26,tennyson,CROSSING THE BAR,2022-01-02 11:19:08,1641140348.335103
27,pasternak,WET PAINT,2022-01-03 07:00:27,1641211227.510834
28,shelley,ART THOU PALE FOR WEARINESS,2022-01-04 07:17:24,1641298644.327712
29,day-lewis,TEMPT ME NO MORE,2022-01-05 09:18:57,1641392337.536756
